MSA,Year,Unemployment Rate
"Columbus, OH (MSA)",1996,3.6
"Bismarck, ND (MSA)",1996,3.2
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",1996,5.5
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",1996,5.1
"Visalia-Porterville, CA (MSA)",1996,16.4
"Salt Lake City, UT (MSA)",1996,2.9
"Davenport-Moline-Rock Island, IA-IL (MSA)",1996,4.1
"Dallas-Fort Worth-Arlington, TX (MSA)",1997,3.7
"Seattle-Tacoma-Bellevue, WA (MSA)",1997,3.9
"Austin-Round Rock, TX (MSA)",1997,3.1
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",1997,4.9
"St. Louis, MO-IL (MSA)",1997,4.1
"Tampa-St. Petersburg-Clearwater, FL (MSA)",1997,3.7
"Las Vegas-Henderson-Paradise, NV (MSA)",1997,4.3
"Detroit-Warren-Dearborn, MI (MSA)",1997,4.2
"Denver-Aurora-Lakewood, CO (MSA)",1997,2.9
"Jacksonville, FL (MSA)",1997,3.9
"Atlanta-Sandy Springs-Roswell, GA (MSA)",1997,3.7
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",1997,2.5
"Phoenix-Mesa-Scottsdale, AZ (MSA)",1997,3.0
"New York-Newark-Jersey City, NY-NJ-PA (MSA)",1997,6.5
"Kansas City, MO-KS (MSA)",1997,3.8
"Cincinnati, OH-KY-IN (MSA)",1997,3.9
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",1997,6.2
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",1997,3.5
"Portland-Vancouver-Hillsboro, OR-WA (MSA)",1997,4.1
"Los Angeles-Long Beach-Anaheim, CA (MSA)",1997,6.0
"Pittsburgh, PA (MSA)",1997,5.0
"Charlotte-Concord-Gastonia, NC-SC (MSA)",1997,3.3
"Memphis, TN-MS-AR (MSA)",1997,4.6
"San Francisco-Oakland-Hayward, CA (MSA)",1997,3.9
"Orlando-Kissimmee-Sanford, FL (MSA)",1997,3.6
"Cleveland-Elyria, OH (MSA)",1997,3.7
"Indianapolis-Carmel-Anderson, IN (MSA)",1997,2.7
"Raleigh, NC (MSA)",1997,1.9
"San Jose-Sunnyvale-Santa Clara, CA (MSA)",1997,3.3
"Reno, NV (MSA)",1997,3.9
"Birmingham-Hoover, AL (MSA)",1997,3.6
"San Antonio-New Braunfels, TX (MSA)",1997,4.1
"Richmond, VA (MSA)",1997,3.4
"Albuquerque, NM (MSA)",1997,4.5
"Grand Rapids-Wyoming, MI (MSA)",1997,3.2
"Omaha-Council Bluffs, NE-IA (MSA)",1997,2.6
"Baltimore-Columbia-Towson, MD (MSA)",1997,5.3
"Rochester, NY (MSA)",1997,4.0
"San Diego-Carlsbad, CA (MSA)",1997,4.3
"Flint, MI (MSA)",1997,5.3
"Lexington-Fayette, KY (MSA)",1997,2.5
"Tucson, AZ (MSA)",1997,3.3
"Oklahoma City, OK (MSA)",1997,3.2
"Boise City, ID (MSA)",1997,3.8
"Ames, IA (MSA)",1997,2.6
"Madison, WI (MSA)",1997,2.1
"New Orleans-Metairie, LA (MSA)",1997,5.8
"Columbus, OH (MSA)",1997,3.3
"Bismarck, ND (MSA)",1997,3.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",1997,4.8
"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",1997,5.3
"Visalia-Porterville, CA (MSA)",1997,15.4
"Salt Lake City, UT (MSA)",1997,2.8
"Davenport-Moline-Rock Island, IA-IL (MSA)",1997,3.3
"Dallas-Fort Worth-Arlington, TX (MSA)",1998,3.4
"Seattle-Tacoma-Bellevue, WA (MSA)",1998,3.7
"Austin-Round Rock, TX (MSA)",1998,2.7
"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",1998,4.6
"St. Louis, MO-IL (MSA)",1998,4.1
"Tampa-St. Petersburg-Clearwater, FL (MSA)",1998,3.3
"Las Vegas-Henderson-Paradise, NV (MSA)",1998,4.0
"Detroit-Warren-Dearborn, MI (MSA)",1998,4.0
"Denver-Aurora-Lakewood, CO (MSA)",1998,3.0
"Jacksonville, FL (MSA)",1998,3.3
"Atlanta-Sandy Springs-Roswell, GA (MSA)",1998,3.3
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",1998,2.1
"Phoenix-Mesa-Scottsdale, AZ (MSA)",1998,2.8
"New York-Newark-Jersey City, NY-NJ-PA (MSA)",1998,5.5
"Kansas City, MO-KS (MSA)",1998,3.7
"Cincinnati, OH-KY-IN (MSA)",1998,3.7
"Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",1998,5.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",1998,3.0
"Portland-Vancouver-Hillsboro, OR-WA (MSA)",1998,4.2
"Los Angeles-Long Beach-Anaheim, CA (MSA)",1998,5.7
"Pittsburgh, PA (MSA)",1998,4.7
"Charlotte-Concord-Gastonia, NC-SC (MSA)",1998,2.9
"Memphis, TN-MS-AR (MSA)",1998,3.9
"San Francisco-Oakland-Hayward, CA (MSA)",1998,3.5
"Orlando-Kissimmee-Sanford, FL (MSA)",1998,3.2
