Year,MSA,"City, State",City,State,CoC Number,CoC Name,Overall Homeless,Population,Rate of Homelessness
2019,"Los Angeles-Long Beach-Anaheim, CA MSA","Los Angeles, CA",Los Angeles,CA,CA-607,Pasadena CoC,542,13214799,0.004101462
2019,"Riverside-San Bernardino-Ontario, CA MSA","Riverside, CA",Riverside,CA,CA-608,Riverside City & County CoC,2811,4650631,0.060443411
2019,"Riverside-San Bernardino-Ontario, CA MSA","Riverside, CA",Riverside,CA,CA-609,San Bernardino City & County CoC,2607,4650631,0.056056909
2019,"Los Angeles-Long Beach-Anaheim, CA MSA","Los Angeles, CA",Los Angeles,CA,CA-611,"Oxnard, San Buenaventura/Ventura County CoC",1669,13214799,0.01262978
2019,"Los Angeles-Long Beach-Anaheim, CA MSA","Los Angeles, CA",Los Angeles,CA,CA-612,Glendale CoC,243,13214799,0.001838847
2019,"Los Angeles-Long Beach-Anaheim, CA MSA","Los Angeles, CA",Los Angeles,CA,CA-613,Imperial County CoC,1413,13214799,0.010692558
2019,"Denver-Aurora-Lakewood, CO MSA","Denver, CO",Denver,CO,CO-503,Metropolitan Denver CoC,5755,2967239,0.193951347
2019,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","Washington, DC",Washington,DC,DC-500,District of Columbia CoC,6521,6280487,0.103829528
2019,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Philadelphia, PA",Philadelphia,PA,DE-500,Delaware Statewide CoC,921,6102434,0.015092339
2019,"Tampa-St Petersburg-Clearwater, FL MSA","Tampa, FL",Tampa,FL,FL-501,Tampa/Hillsborough County CoC,1650,3194831,0.051645924
2019,"Tampa-St Petersburg-Clearwater, FL MSA","Tampa, FL",Tampa,FL,FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2415,3194831,0.075590853
2019,"Orlando-Kissimmee-Sanford, FL MSA","Orlanda, FL",Orlanda,FL,FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",2010,2608147,0.077066208
2019,"Jacksonville, FL MSA","Jacksonville, FL",Jacksonville,FL,FL-510,"Jacksonville-Duval, Clay Counties CoC",1654,1559514,0.106058682
2019,"Miami-Fort Lauderdale-Pompano Beach, FL MSA","Miami, FL",Miami,FL,FL-600,Miami-Dade County CoC,3472,6166488,0.056304334
2019,"Miami-Fort Lauderdale-Pompano Beach, FL MSA","Miami, FL",Miami,FL,FL-601,Ft Lauderdale/Broward County CoC,2803,6166488,0.045455371
2019,"Miami-Fort Lauderdale-Pompano Beach, FL MSA","Miami, FL",Miami,FL,FL-605,West Palm Beach/Palm Beach County CoC,1397,6166488,0.02265471
2019,"Atlanta-Sandy Springs-Alpharetta, GA MSA","Atlanta, GA",Atlanta,GA,GA-500,Atlanta CoC,3217,6020364,0.053435307
2019,"Atlanta-Sandy Springs-Alpharetta, GA MSA","Atlanta, GA",Atlanta,GA,GA-502,Fulton County CoC,632,6020364,0.010497704
2019,"Atlanta-Sandy Springs-Alpharetta, GA MSA","Atlanta, GA",Atlanta,GA,GA-508,DeKalb County CoC,375,6020364,0.006228859
2019,"Chicago-Naperville-Elgin, IL-IN-WI MSA","Chicago, IL",Chicago,IL,IL-502,"Waukegan, North Chicago/Lake County CoC",252,9458539,0.002664259
2019,"Chicago-Naperville-Elgin, IL-IN-WI MSA","Chicago, IL",Chicago,IL,IL-510,Chicago CoC,5290,9458539,0.055928299
2019,"Chicago-Naperville-Elgin, IL-IN-WI MSA","Chicago, IL",Chicago,IL,IL-511,Cook County CoC,897,9458539,0.009483494
2019,"Chicago-Naperville-Elgin, IL-IN-WI MSA","Chicago, IL",Chicago,IL,IL-517,"Aurora, Elgin/Kane County CoC",388,9458539,0.004102113
2019,"Indianapolis-Carmel-Anderson, IN MSA","Indianapolis, IN",Indianapolis,IN,IN-503,Indianapolis CoC,1567,2074537,0.075534927
2019,"Kansas City, MO-KS MSA","Kansas City, KS",Kansas City,KS,KS-505,"Overland Park, Shawnee/Johnson County CoC",189,2157990,0.00875815
